"dl_state","dl_cycle","raw_n","final_n","retained"
"AK","1202",469,466,99.3603411513859
"AL","1202",2815,2809,99.7868561278863
"AR","1202",8902,8902,100
"AZ","1202",1096,1095,99.9087591240876
"CA","1202",2721,2719,99.9264976111724
"CO","1202",650,648,99.6923076923077
"DE","1202",925,925,100
"FL","1202",5464,5459,99.9084919472914
"GA","1202",5785,5764,99.6369922212619
"IL","1202",1586,1586,100
"IN","1202",1025,1024,99.9024390243902
"KS","1202",4795,4782,99.7288842544317
"KY","1202",942,942,100
"LA","1202",30357,30350,99.976941067958
"MD","1202",3040,3003,98.7828947368421
"ME","1202",231,231,100
"MI","1202",513,512,99.8050682261209
"MN","1202",340,340,100
"MO","1202",1049,1049,100
"MS","1202",2859,2859,100
"NC","1202",1559,1558,99.9358563181527
"ND","1202",169,169,100
"NE","1202",2803,2801,99.9286478772743
"NH","1202",78,75,96.1538461538462
"NJ","1202",604,604,100
"NM","1202",763,763,100
"NV","1202",233,233,100
"NY","1202",1266,1266,100
"OH","1202",1261,1261,100
"OK","1202",9439,9391,99.4914715541901
"PA","1202",3843,3842,99.9739786625032
"SC","1202",3299,3298,99.969687784177
"SD","1202",319,317,99.3730407523511
"TN","1202",5376,5374,99.9627976190476
"TX","1202",16559,16557,99.9879219759647
"UT","1202",631,631,100
"VA","1202",4724,4710,99.7036409822185
"VT","1202",30,30,100
"WA","1202",2415,2415,100
"WI","1202",273,273,100
"WV","1202",86,85,98.8372093023256
