"dl_state","dl_cycle","raw_n","final_n","retained"
"AK","0901",3676,3643,99.1022850924918
"AL","0901",30597,30512,99.7221949864366
"AR","0901",16654,16654,100
"AZ","0901",15079,15056,99.8474699913787
"CA","0901",21062,21062,100
"CO","0901",3499,3496,99.9142612174907
"CT","0901",113,113,100
"DE","0901",4856,4855,99.9794069192751
"GA","0901",8605,8605,100
"IL","0901",10673,10672,99.9906305631032
"IN","0901",9433,9427,99.9363935121382
"KS","0901",7950,7701,96.8679245283019
"LA","0901",15185,15184,99.993414553836
"MD","0901",11272,11143,98.8555713271824
"ME","0901",1243,1241,99.8390989541432
"MI","0901",15387,15387,100
"MN","0901",17198,17197,99.9941853703919
"MO","0901",7408,7408,100
"NC","0901",33048,33041,99.978818687969
"ND","0901",20504,20503,99.9951229028482
"NE","0901",9966,9966,100
"NH","0901",766,723,94.3864229765013
"NM","0901",816,816,100
"NV","0901",2510,2510,100
"NY","0901",8358,8356,99.9760708303422
"OH","0901",12147,12147,100
"OK","0901",10880,8732,80.2573529411765
"OR","0901",6499,6498,99.9846130173873
"PA","0901",50797,50732,99.8720396873831
"SC","0901",14150,14150,100
"SD","0901",4996,4862,97.3178542834267
"TN","0901",8690,8688,99.9769850402762
"TX","0901",279511,279273,99.9148512938668
"UT","0901",4767,4767,100
"VT","0901",389,388,99.7429305912596
"WA","0901",3765,3755,99.734395750332
"WI","0901",15072,15068,99.9734607218684
"WV","0901",788,788,100
