"dl_state","dl_cycle","raw_n","final_n","retained"
"AK","1502",154,NA,NA
"CA","1502",372,14,3.76344086021505
"CO","1502",6410,NA,NA
"DE","1502",265,222,83.7735849056604
"IL","1502",3811,NA,NA
"IN","1502",39,1,2.56410256410256
"MD","1502",7,NA,NA
"MI","1502",3835,NA,NA
"MS","1502",315,NA,NA
"MT","1502",5366,NA,NA
"NC","1502",199,NA,NA
"ND","1502",6539,NA,NA
"NH","1502",179,NA,NA
"NJ","1502",107,38,35.5140186915888
"NY","1502",287,NA,NA
"OH","1502",782,NA,NA
"PA","1502",19352,19300,99.7312939231087
"UT","1502",32,32,100
"VT","1502",380,NA,NA
"WA","1502",1604,NA,NA
"WV","1502",159,NA,NA
