"dl_state","dl_cycle","raw_n","final_n","retained"
"AL","1201",6635,6614,99.6834966088922
"AR","1201",18000,17999,99.9944444444444
"AZ","1201",1772,1770,99.8871331828443
"CA","1201",3657,3657,100
"CO","1201",972,971,99.8971193415638
"CT","1201",155,155,100
"FL","1201",7302,7296,99.9178307313065
"GA","1201",8237,8202,99.5750880174821
"ID","1201",8963,8959,99.9553720852393
"IL","1201",3301,3298,99.9091184489549
"IN","1201",1403,1403,100
"KS","1201",3910,3902,99.7953964194373
"KY","1201",2303,2303,100
"ME","1201",371,371,100
"MI","1201",1487,1487,100
"MN","1201",1283,1283,100
"MO","1201",1446,1446,100
"MS","1201",5909,5907,99.9661533254358
"MT","1201",1211,1211,100
"NC","1201",4761,4761,100
"ND","1201",727,727,100
"NE","1201",2087,2087,100
"NH","1201",130,126,96.9230769230769
"NJ","1201",1688,1687,99.9407582938389
"NV","1201",384,383,99.7395833333333
"NY","1201",1808,1808,100
"OH","1201",2287,2286,99.95627459554
"OK","1201",9159,9113,99.4977617643848
"OR","1201",1815,1809,99.6694214876033
"RI","1201",168,167,99.4047619047619
"SC","1201",8110,8104,99.9260172626387
"SD","1201",833,832,99.8799519807923
"TN","1201",2312,2311,99.9567474048443
"TX","1201",30921,30911,99.9676595194205
"UT","1201",1604,1604,100
"VA","1201",33510,32378,96.6219039092808
"VT","1201",114,114,100
"WA","1201",2375,2375,100
"WI","1201",1599,1599,100
"WV","1201",192,192,100
"WY","1201",603,602,99.8341625207297
