"dl_state","dl_cycle","raw_n","final_n","retained"
"AK","1301",258,250,96.8992248062015
"AL","1301",3779,3765,99.6295316221223
"AR","1301",20791,20790,99.9951902265403
"AZ","1301",2906,2903,99.8967653131452
"CA","1301",5290,5283,99.8676748582231
"CO","1301",1145,1143,99.825327510917
"CT","1301",524,230,43.8931297709924
"DE","1301",539,539,100
"FL","1301",8685,8677,99.9078871617732
"GA","1301",7195,7167,99.6108408617095
"IA","1301",627,625,99.6810207336523
"ID","1301",4470,4443,99.3959731543624
"IL","1301",2365,2364,99.9577167019027
"IN","1301",1772,1750,98.7584650112867
"KS","1301",7143,7135,99.8880022399552
"KY","1301",1637,1637,100
"LA","1301",7284,7282,99.9725425590335
"MD","1301",7943,7827,98.5395946116077
"ME","1301",113,113,100
"MI","1301",588,588,100
"MN","1301",365,365,100
"MO","1301",1402,1402,100
"MS","1301",3455,3455,100
"MT","1301",2468,2468,100
"NC","1301",6163,6161,99.9675482719455
"ND","1301",163,101,61.9631901840491
"NE","1301",1823,1822,99.9451453647833
"NH","1301",2151,NA,NA
"NJ","1301",1714,1713,99.9416569428238
"NM","1301",608,608,100
"NV","1301",449,449,100
"NY","1301",6705,6704,99.9850857568978
"OH","1301",1907,1907,100
"OK","1301",7561,7525,99.5238725036371
"OR","1301",2957,2953,99.8647277646263
"RI","1301",141,141,100
"SC","1301",6777,6770,99.8967094584625
"SD","1301",377,376,99.7347480106101
"TN","1301",6757,6752,99.9260026639041
"TX","1301",32744,32727,99.9480820913755
"UT","1301",1468,1468,100
"VA","1301",3888,3884,99.8971193415638
"VT","1301",1851,11,0.594273365748244
"WA","1301",4605,4302,93.4201954397394
"WI","1301",212,212,100
"WV","1301",1795,341,18.9972144846797
"WY","1301",1153,1153,100
