"dl_state","dl_cycle","raw_n","final_n","retained"
"AR","1401",2609,2609,100
"AZ","1401",5812,1077,18.5306262904336
"CA","1401",563,562,99.8223801065719
"CO","1401",212,211,99.5283018867924
"DE","1401",428,422,98.5981308411215
"GA","1401",36822,35956,97.6481451306284
"IA","1401",675,653,96.7407407407407
"IL","1401",522,522,100
"IN","1401",134,133,99.2537313432836
"KS","1401",16448,16444,99.9756809338521
"MD","1401",516,514,99.6124031007752
"MI","1401",110,110,100
"MO","1401",175,175,100
"MS","1401",363,363,100
"MT","1401",3,3,100
"NC","1401",549,547,99.6357012750455
"ND","1401",2482,NA,NA
"NE","1401",861,859,99.7677119628339
"NH","1401",273,NA,NA
"NJ","1401",79,79,100
"NM","1401",1931,110,5.69653029518384
"NV","1401",43,43,100
"NY","1401",80,80,100
"OH","1401",115,115,100
"OK","1401",19870,19810,99.6980372420735
"OR","1401",84,84,100
"RI","1401",195,195,100
"SC","1401",1151,1148,99.7393570807993
"SD","1401",309,309,100
"TN","1401",942,940,99.7876857749469
"UT","1401",37,37,100
"VA","1401",593,592,99.8313659359191
"VT","1401",237,NA,NA
"WA","1401",239,79,33.0543933054393
"WI","1401",73,73,100
"WV","1401",176,NA,NA
