"dl_state","dl_cycle","raw_n","final_n","retained"
"AK","0902",1434,1428,99.581589958159
"AL","0902",10312,10287,99.7575640031032
"AR","0902",3635,3635,100
"AZ","0902",1730,1726,99.7687861271676
"CA","0902",4139,4139,100
"CO","0902",803,803,100
"FL","0902",25693,25687,99.9766473358502
"IA","0902",14378,12769,88.8092919738489
"ID","0902",28323,28311,99.9576316068213
"IN","0902",1370,1369,99.9270072992701
"KY","0902",16572,16570,99.9879314506396
"LA","0902",14287,14287,100
"MD","0902",1988,1979,99.5472837022133
"ME","0902",1142,1141,99.9124343257443
"MI","0902",21134,21126,99.962146304533
"MN","0902",10469,10469,100
"MO","0902",1596,1596,100
"MS","0902",6657,6641,99.7596514946673
"MT","0902",9326,9322,99.9571091571949
"NC","0902",7872,7872,100
"ND","0902",2555,2555,100
"NE","0902",5857,5856,99.9829264128393
"NH","0902",902,865,95.8980044345898
"NJ","0902",2758,2757,99.9637418419144
"NM","0902",700,700,100
"NV","0902",729,729,100
"NY","0902",5394,5394,100
"OH","0902",3383,3383,100
"OR","0902",4088,4087,99.9755381604697
"RI","0902",712,692,97.1910112359551
"TX","0902",115921,115855,99.9430646733551
"UT","0902",2353,2353,100
"VA","0902",25173,25169,99.9841099590831
"VT","0902",264,264,100
"WA","0902",1659,1658,99.9397227245329
"WV","0902",435,435,100
"WY","0902",1630,1630,100
