"dl_state","dl_cycle","raw_n","final_n","retained"
"AL","1402",524,521,99.4274809160305
"AR","1402",512,512,100
"AZ","1402",580,NA,NA
"CA","1402",344,344,100
"CO","1402",72,38,52.7777777777778
"CT","1402",208,NA,NA
"GA","1402",328,328,100
"IL","1402",452,452,100
"IN","1402",69,69,100
"KS","1402",357,356,99.7198879551821
"MA","1402",436,NA,NA
"MD","1402",90,89,98.8888888888889
"MI","1402",41,41,100
"MS","1402",61,61,100
"MT","1402",2,2,100
"NC","1402",176,176,100
"ND","1402",668,NA,NA
"NE","1402",182,182,100
"NH","1402",236,NA,NA
"NJ","1402",93,93,100
"NM","1402",3935,77,1.95679796696315
"NV","1402",21,21,100
"NY","1402",66,66,100
"OH","1402",85,31,36.4705882352941
"OK","1402",135,135,100
"SC","1402",243,243,100
"SD","1402",359,358,99.7214484679666
"TN","1402",463,462,99.7840172786177
"TX","1402",3915,985,25.1596424010217
"UT","1402",34,34,100
"VA","1402",130,130,100
"VT","1402",335,NA,NA
"WA","1402",393,88,22.3918575063613
"WV","1402",77,NA,NA
"WY","1402",179,179,100
