"dl_state","dl_cycle","raw_n","final_n","retained"
"AK","1302",30,30,100
"AL","1302",1143,1143,100
"AR","1302",8045,8045,100
"AZ","1302",2743,2743,100
"CA","1302",1338,1335,99.7757847533632
"CO","1302",339,339,100
"CT","1302",1927,70,3.63258951738454
"DE","1302",466,258,55.3648068669528
"FL","1302",4789,4784,99.8955940697432
"GA","1302",1990,1981,99.5477386934673
"ID","1302",12194,3848,31.5565031982942
"IN","1302",168,168,100
"KS","1302",3118,3112,99.807568954458
"KY","1302",384,384,100
"LA","1302",7916,7914,99.9747347145023
"MA","1302",10974,5269,48.0134864224531
"MD","1302",3567,3519,98.6543313708999
"MI","1302",37,37,100
"MO","1302",57813,57805,99.9861622818397
"MS","1302",1066,1066,100
"MT","1302",958,958,100
"NC","1302",2029,2029,100
"ND","1302",1730,NA,NA
"NE","1302",1204,1204,100
"NH","1302",439,NA,NA
"NJ","1302",353,353,100
"NM","1302",1959,246,12.5574272588055
"NV","1302",117,117,100
"NY","1302",453,453,100
"OH","1302",256,256,100
"OK","1302",2986,2969,99.430676490288
"OR","1302",390,390,100
"PA","1302",1653,1652,99.9395039322444
"RI","1302",192,192,100
"SC","1302",23430,23403,99.8847631241998
"SD","1302",6403,6400,99.9531469623614
"TN","1302",19997,19982,99.9249887483122
"TX","1302",7258,7257,99.986222099752
"UT","1302",181,181,100
"VA","1302",16716,16687,99.8265135199808
"VT","1302",449,NA,NA
"WA","1302",988,802,81.1740890688259
"WI","1302",121,121,100
"WV","1302",667,NA,NA
"WY","1302",828,828,100
