"dl_state","dl_cycle","raw_n","final_n","retained"
"AK","1102",480,479,99.7916666666667
"AL","1102",2766,2761,99.8192335502531
"AR","1102",6397,6395,99.9687353446928
"AZ","1102",997,997,100
"CA","1102",4577,4575,99.9563032554075
"CO","1102",896,895,99.8883928571429
"CT","1102",212,212,100
"DE","1102",1661,1661,100
"FL","1102",12607,12603,99.9682715951456
"GA","1102",25054,25012,99.8323620978686
"IA","1102",4832,4826,99.8758278145695
"IL","1102",2808,2808,100
"IN","1102",1041,1041,100
"KS","1102",10032,10027,99.9501594896332
"KY","1102",396,396,100
"MD","1102",2361,2336,98.9411266412537
"ME","1102",548,548,100
"MI","1102",2712,2711,99.9631268436578
"MN","1102",1749,1748,99.9428244711264
"MO","1102",1151,1151,100
"MS","1102",1058,1058,100
"MT","1102",1182,1182,100
"NC","1102",6857,6857,100
"ND","1102",2497,2497,100
"NH","1102",181,174,96.1325966850829
"NJ","1102",885,884,99.8870056497175
"NM","1102",398,398,100
"NV","1102",463,463,100
"NY","1102",1773,1773,100
"OH","1102",1981,1981,100
"OR","1102",2004,2002,99.9001996007984
"PA","1102",6384,6382,99.968671679198
"RI","1102",76,76,100
"SC","1102",11078,11073,99.9548654991876
"SD","1102",10743,10735,99.9255329051475
"TN","1102",5601,5600,99.982146045349
"TX","1102",35441,35419,99.9379250021162
"UT","1102",1858,1858,100
"VT","1102",214,213,99.5327102803738
"WA","1102",2423,2423,100
"WI","1102",2597,2596,99.9614940315749
"WV","1102",184,184,100
"WY","1102",527,527,100
