"dl_state","dl_cycle","raw_n","final_n","retained"
"AL","0802",608,608,100
"AR","0802",2654,2653,99.9623210248681
"AZ","0802",4254,4251,99.9294781382228
"CA","0802",7834,7834,100
"CO","0802",5766,5763,99.9479708636837
"CT","0802",55,55,100
"IL","0802",1457,1457,100
"IN","0802",1817,1817,100
"KY","0802",11541,11540,99.9913352395806
"LA","0802",2674,2674,100
"ME","0802",17418,17361,99.6727523251809
"MI","0802",3371,3370,99.9703352121032
"MN","0802",2232,2232,100
"MO","0802",492,492,100
"NC","0802",39015,39012,99.9923106497501
"NH","0802",242,235,97.1074380165289
"NM","0802",334,334,100
"NY","0802",3364,3364,100
"OH","0802",1791,1791,100
"OR","0802",3585,3585,100
"TX","0802",97306,97238,99.9301173617249
"UT","0802",820,820,100
"VT","0802",152,152,100
"WA","0802",15651,15650,99.9936106319085
"WI","0802",72317,72302,99.9792579891312
"WV","0802",121,121,100
"WY","0802",402,402,100
