"DL","n_registrations","cumulative_total"
"0802",641518,641518
"0901",689699,1331217
"0902",358173,1689390
"1101",481103,2170493
"1102",179444,2349937
"1201",159133,2509070
"1202",128216,2637286
"1301",175000,2812286
"1302",149699,2961985
"1401",83726,3045711
"1402",6017,3051728
"1501",6643,3058371
"1502",19607,3077978
