"dl_state","dl_cycle","raw_n","final_n","retained"
"AK","1101",2189,2178,99.4974874371859
"AL","1101",8417,8385,99.619817036949
"AR","1101",10660,10659,99.9906191369606
"AZ","1101",4149,4144,99.879489033502
"CA","1101",15635,15629,99.9616245602814
"CO","1101",2342,2340,99.9146029035013
"CT","1101",1169,1169,100
"DE","1101",1374,1352,98.3988355167395
"IL","1101",9505,9502,99.9684376643872
"IN","1101",3593,3574,99.4711939883106
"KY","1101",1508,1508,100
"LA","1101",20009,12904,64.4909790594233
"MD","1101",5828,5745,98.5758407687028
"ME","1101",5253,5232,99.6002284408909
"MI","1101",36900,36895,99.9864498644987
"MN","1101",28176,28173,99.9893526405451
"MO","1101",1848,1848,100
"MS","1101",1912,1911,99.9476987447699
"MT","1101",7750,7745,99.9354838709677
"NC","1101",18655,18652,99.9839185205039
"ND","1101",25715,25711,99.9844448765312
"NE","1101",4664,4664,100
"NH","1101",2694,2447,90.8314773570898
"NJ","1101",5143,5143,100
"NM","1101",858,858,100
"NV","1101",2637,2637,100
"NY","1101",13217,13217,100
"OH","1101",8899,8897,99.9775255646702
"OR","1101",13870,13869,99.9927901946647
"PA","1101",4219,4217,99.952595401754
"RI","1101",535,535,100
"TX","1101",166141,166065,99.9542557225489
"UT","1101",11018,11018,100
"VT","1101",1348,1348,100
"WA","1101",7721,7709,99.8445797176532
"WI","1101",33229,33220,99.9729152246532
"WV","1101",804,804,100
"WY","1101",2799,2799,100
